disease,model,test_study,train_studies,accuracy,auc
major_depressive_disorder,CatBoost,KovtunA_2022,"LiuR_2020,LiuP_2022,DongZ_2023,ChenH_2022",0.5135135135135135,0.5679824561403508
major_depressive_disorder,CatBoost,LiuP_2022,"LiuR_2020,KovtunA_2022,DongZ_2023,ChenH_2022",0.5294117647058824,0.6325757575757576
major_depressive_disorder,CatBoost,DongZ_2023,"LiuR_2020,KovtunA_2022,LiuP_2022,ChenH_2022",0.5444444444444444,0.5388888888888889
major_depressive_disorder,CatBoost,ChenH_2022,"LiuR_2020,KovtunA_2022,LiuP_2022,DongZ_2023",0.7,0.8
multiple_sclerosis,CatBoost,AshrafH_2024,"CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.4931506849315068,0.5986394557823129
multiple_sclerosis,CatBoost,CekanaviciuteE_2017,"AshrafH_2024,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.5950413223140496,0.6620065789473684
multiple_sclerosis,CatBoost,VenturaR_2019,"AshrafH_2024,CekanaviciuteE_2017,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.5625,0.5678168402777778
multiple_sclerosis,CatBoost,ChoileainS_2019,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.4461538461538462,0.5069033530571992
multiple_sclerosis,CatBoost,ProbstelA_2020,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.5923076923076923,0.6042857142857143
multiple_sclerosis,CatBoost,BoussametL_2024,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.75,0.8321678321678322
multiple_sclerosis,CatBoost,LingZ_2020,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,CoxL_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.5272727272727272,0.6859504132231405
multiple_sclerosis,CatBoost,CoxL_2020,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,ShrodeR_2023,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.7279151943462897,0.6391975308641974
multiple_sclerosis,CatBoost,ShrodeR_2023,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,MirzaA_2024,MolesL_2024,JangiS_2016,ForbesJ_2018",0.5166666666666667,0.6064222790565501
multiple_sclerosis,CatBoost,MirzaA_2024,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MolesL_2024,JangiS_2016,ForbesJ_2018",0.4915254237288136,0.6203703703703705
multiple_sclerosis,CatBoost,MolesL_2024,"AshrafH_2024,CekanaviciuteE_2017,VenturaR_2019,ChoileainS_2019,ProbstelA_2020,BoussametL_2024,LingZ_2020,CoxL_2020,ShrodeR_2023,MirzaA_2024,JangiS_2016,ForbesJ_2018",0.5625,0.725
